Name,Type_1,Type_2,HP,Attack,Defense,Speed,isLegendary,Color,Egg_Group_1,hasMegaEvolution
Bulbasaur,Grass,Poison,45,49,49,45,No,Green,Monster,No
Ivysaur,Grass,Poison,60,62,63,60,No,Green,Monster,No
Venusaur,Grass,Poison,80,82,83,80,No,Green,Monster,Yes
Charmander,Fire,,39,52,43,65,No,Red,Monster,No
Charmeleon,Fire,,58,64,58,80,No,Red,Monster,No
Charizard,Fire,Flying,78,84,78,100,No,Red,Monster,Yes
Squirtle,Water,,44,48,65,43,No,Blue,Monster,No
Wartortle,Water,,59,63,80,58,No,Blue,Monster,No
Blastoise,Water,,79,83,100,78,No,Blue,Monster,Yes
Caterpie,Bug,,45,30,35,45,No,Green,Bug,No
Metapod,Bug,,50,20,55,30,No,Green,Bug,No
Butterfree,Bug,Flying,60,45,50,70,No,White,Bug,No
Weedle,Bug,Poison,40,35,30,50,No,Brown,Bug,No
Kakuna,Bug,Poison,45,25,50,35,No,Yellow,Bug,No
Rattata,Normal,,30,56,35,72,No,Purple,Field,No
Raticate,Normal,,55,81,60,97,No,Brown,Field,No
Spearow,Normal,Flying,40,60,30,70,No,Brown,Flying,No
Fearow,Normal,Flying,65,90,65,100,No,Brown,Flying,No
Ekans,Poison,,35,60,44,55,No,Purple,Field,No
Arbok,Poison,,60,85,69,80,No,Purple,Field,No
Pikachu,Electric,,35,55,40,90,No,Yellow,Field,No
Raichu,Electric,,60,90,55,110,No,Yellow,Field,No
Sandshrew,Ground,,50,75,85,40,No,Yellow,Field,No
Sandslash,Ground,,75,100,110,65,No,Yellow,Field,No
Nidorana,Poison,,55,47,52,41,No,Blue,Monster,No
Nidorina,Poison,,70,62,67,56,No,Blue,Undiscovered,No
Nidoqueen,Poison,Ground,90,92,87,76,No,Blue,Undiscovered,No
Nidorana2,Poison,,46,57,40,50,No,Purple,Monster,No
Nidorino,Poison,,61,72,57,65,No,Purple,Monster,No
Nidoking,Poison,Ground,81,102,77,85,No,Purple,Monster,No
Clefairy,Fairy,,70,45,48,35,No,Pink,Fairy,No
Clefable,Fairy,,95,70,73,60,No,Pink,Fairy,No
Vulpix,Fire,,38,41,40,65,No,Brown,Field,No
Ninetales,Fire,,73,76,75,100,No,Yellow,Field,No
Jigglypuff,Normal,Fairy,115,45,20,20,No,Pink,Fairy,No
Wigglytuff,Normal,Fairy,140,70,45,45,No,Pink,Fairy,No
Zubat,Poison,Flying,40,45,35,55,No,Purple,Flying,No
Golbat,Poison,Flying,75,80,70,90,No,Purple,Flying,No
Oddish,Grass,Poison,45,50,55,30,No,Blue,Grass,No
Gloom,Grass,Poison,60,65,70,40,No,Blue,Grass,No
Vileplume,Grass,Poison,75,80,85,50,No,Red,Grass,No
Paras,Bug,Grass,35,70,55,25,No,Red,Bug,No
Parasect,Bug,Grass,60,95,80,30,No,Red,Bug,No
Venonat,Bug,Poison,60,55,50,45,No,Purple,Bug,No
Venomoth,Bug,Poison,70,65,60,90,No,Purple,Bug,No
Diglett,Ground,,10,55,25,95,No,Brown,Field,No
Dugtrio,Ground,,35,80,50,120,No,Brown,Field,No
Meowth,Normal,,40,45,35,90,No,Yellow,Field,No
Persian,Normal,,65,70,60,115,No,Yellow,Field,No
Psyduck,Water,,50,52,48,55,No,Yellow,Water_1,No
Golduck,Water,,80,82,78,85,No,Blue,Water_1,No
Mankey,Fighting,,40,80,35,70,No,Brown,Field,No
Primeape,Fighting,,65,105,60,95,No,Brown,Field,No
